CensusTract,State,County,Urban,Pop2010,OHU2010,GroupQuartersFlag,NUMGQTRS,PCTGQTRS,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,HUNVFlag,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,LATractsVehicle_20,LAPOP1_10,LAPOP05_10,LAPOP1_20,LALOWI1_10,LALOWI05_10,LALOWI1_20,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lakidshalf,lakidshalfshare,laseniorshalf,laseniorshalfshare,lawhitehalf,lawhitehalfshare,lablackhalf,lablackhalfshare,laasianhalf,laasianhalfshare,lanhopihalf,lanhopihalfshare,laaianhalf,laaianhalfshare,laomultirhalf,laomultirhalfshare,lahisphalf,lahisphalfshare,lahunvhalf,lahunvhalfshare,lasnaphalf,lasnaphalfshare,lapop1,lapop1share,lalowi1,lalowi1share,lakids1,lakids1share,laseniors1,laseniors1share,lawhite1,lawhite1share,lablack1,lablack1share,laasian1,laasian1share,lanhopi1,lanhopi1share,laaian1,laaian1share,laomultir1,laomultir1share,lahisp1,lahisp1share,lahunv1,lahunv1share,lasnap1,lasnap1share,lapop10,lapop10share,lalowi10,lalowi10share,lakids10,lakids10share,laseniors10,laseniors10share,lawhite10,lawhite10share,lablack10,lablack10share,laasian10,laasian10share,lanhopi10,lanhopi10share,laaian10,laaian10share,laomultir10,laomultir10share,lahisp10,lahisp10share,lahunv10,lahunv10share,lasnap10,lasnap10share,lapop20,lapop20share,lalowi20,lalowi20share,lakids20,lakids20share,laseniors20,laseniors20share,lawhite20,lawhite20share,lablack20,lablack20share,laasian20,laasian20share,lanhopi20,lanhopi20share,laaian20,laaian20share,laomultir20,laomultir20share,lahisp20,lahisp20share,lahunv20,lahunv20share,lasnap20,lasnap20share,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP
01001021000,Alabama,Autauga County,0,2894,1085,0,10,0.35,1,1,0,0,0,1,22.7,60900,1,1,0,0,0,1,0,0,2338,2338,NULL,902,902,NULL,2894,100.00,1119,38.67,750,25.92,347,11.99,2223,76.81,603,20.84,3,0.10,0,0.00,18,0.62,47,1.62,39,1.35,9,0.80,155,14.31,2894,100.00,1119,38.67,750,25.92,347,11.99,2223,76.81,603,20.84,3,0.10,0,0.00,18,0.62,47,1.62,39,1.35,9,0.80,155,14.31,2338,80.80,902,31.15,604,20.87,272,9.40,1786,61.72,489,16.88,3,0.10,0,0.00,16,0.56,44,1.54,33,1.13,7,0.68,125,11.55,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,977,750,347,2223,603,3,0,18,47,39,9,146
01001021100,Alabama,Autauga County,0,3320,1306,0,33,0.99,1,1,0,1,1,1,24.1,49833,1,1,0,0,0,1,0,1,2640,2640,NULL,1354,1354,NULL,3320,100.00,1718,51.75,750,22.59,493,14.85,1441,43.40,1810,54.52,2,0.06,0,0.00,14,0.42,53,1.60,39,1.17,271,20.72,227,17.36,3320,100.00,1718,51.75,750,22.59,493,14.85,1441,43.40,1810,54.52,2,0.06,0,0.00,14,0.42,53,1.60,39,1.17,271,20.72,227,17.36,2640,79.52,1354,40.77,574,17.30,407,12.27,1052,31.69,1540,46.39,1,0.03,0,0.00,5,0.16,41,1.25,31,0.94,210,16.05,182,13.96,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1463,750,493,1441,1810,2,0,14,53,39,269,230
01003010100,Alabama,Baldwin County,0,3804,1510,0,31,0.81,1,1,0,0,0,1,10.2,56464,1,1,0,0,0,1,0,0,1491,1491,NULL,611,611,NULL,3804,100.00,1353,35.56,917,24.11,605,15.90,2865,75.32,826,21.71,6,0.16,0,0.00,64,1.68,43,1.13,16,0.42,85,5.62,122,8.09,3804,100.00,1353,35.56,917,24.11,605,15.90,2865,75.32,826,21.71,6,0.16,0,0.00,64,1.68,43,1.13,16,0.42,85,5.62,122,8.09,1491,39.21,611,16.06,343,9.03,258,6.79,1067,28.06,380,9.99,2,0.06,0,0.00,25,0.65,17,0.45,9,0.23,27,1.82,50,3.28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1496,917,605,2865,826,6,0,64,43,16,84,126
01003010200,Alabama,Baldwin County,0,2902,1111,0,6,0.21,0,0,0,0,0,1,20.2,44954,0,0,0,0,0,0,0,0,30,30,NULL,15,15,NULL,2902,100.00,1556,53.61,755,26.02,378,13.03,2469,85.08,281,9.68,11,0.38,0,0.00,73,2.52,68,2.34,46,1.59,99,8.90,142,12.81,2902,100.00,1556,53.61,755,26.02,378,13.03,2469,85.08,281,9.68,11,0.38,0,0.00,73,2.52,68,2.34,46,1.59,99,8.90,142,12.81,30,1.04,15,0.51,6,0.20,6,0.22,30,1.02,0,0.00,0,0.00,0,0.00,0,0.02,0,0.01,0,0.00,2,0.15,2,0.14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1715,755,378,2469,281,11,0,73,68,46,91,146
01003010300,Alabama,Baldwin County,0,7826,2727,0,521,6.66,0,0,0,0,1,0,6.4,81799,0,0,0,0,0,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,7804,99.72,2328,29.75,1816,23.21,1108,14.15,6070,77.56,1436,18.35,34,0.43,1,0.01,75,0.96,188,2.40,128,1.63,169,6.21,150,5.50,7464,95.37,2174,27.78,1721,21.98,1062,13.58,5955,76.09,1220,15.59,32,0.41,1,0.01,73,0.93,183,2.34,125,1.60,159,5.84,143,5.24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2492,1820,1111,6091,1437,34,1,75,188,128,181,165
01003010400,Alabama,Baldwin County,0,4736,1740,0,0,0.00,0,0,0,0,0,0,12.3,58359,0,0,0,0,0,0,0,0,361,361,NULL,73,73,NULL,4736,100.00,1347,28.44,1182,24.96,610,12.88,4339,91.62,252,5.32,11,0.23,0,0.00,35,0.74,99,2.09,71,1.50,17,1.00,120,6.87,4711,99.47,1337,28.23,1171,24.73,610,12.87,4335,91.54,231,4.87,11,0.23,0,0.00,35,0.74,99,2.08,71,1.50,17,1.00,119,6.84,361,7.62,73,1.54,86,1.82,51,1.07,351,7.42,2,0.03,0,0.00,0,0.00,7,0.14,2,0.03,1,0.01,3,0.15,9,0.54,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1347,1182,610,4339,252,11,0,35,99,71,19,120
01003010500,Alabama,Baldwin County,1,4815,1798,0,559,11.61,0,0,0,0,0,0,14.3,69951,1,1,1,1,1,0,0,0,1873,3493,1873,545,1054,545,3493,72.55,1054,21.88,781,16.22,659,13.68,2951,61.28,380,7.89,38,0.78,1,0.02,51,1.06,73,1.52,52,1.08,76,4.23,190,10.56,1873,38.91,545,11.31,418,8.67,394,8.17,1660,34.48,111,2.31,21,0.44,0,0.00,41,0.86,39,0.81,32,0.67,38,2.11,107,5.93,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1516,1009,829,3922,669,60,1,60,103,76,133,245
01003010600,Alabama,Baldwin County,1,3325,1186,0,14,0.42,1,1,1,0,0,1,27.7,50536,1,1,1,1,1,0,0,0,1617,2697,1617,884,1602,884,2697,81.11,1602,48.18,807,24.27,264,7.94,1112,33.44,1464,44.04,3,0.09,0,0.00,24,0.71,94,2.83,76,2.30,82,6.93,261,21.99,1617,48.62,884,26.57,454,13.65,181,5.45,925,27.81,609,18.31,2,0.06,0,0.00,19,0.56,63,1.88,56,1.69,47,3.99,163,13.72,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2174,1028,305,1323,1851,3,0,30,118,92,96,292
01003010701,Alabama,Baldwin County,1,7882,3054,0,7,0.09,0,0,0,0,0,0,4.8,112717,1,1,1,1,1,0,0,0,3548,6203,3548,520,856,520,6203,78.70,856,10.86,1668,21.17,796,10.10,5827,73.93,191,2.42,76,0.97,14,0.18,24,0.30,71,0.91,126,1.59,65,2.12,34,1.10,3548,45.01,520,6.60,1020,12.94,395,5.01,3331,42.27,115,1.46,36,0.45,11,0.14,14,0.17,41,0.52,72,0.92,41,1.36,19,0.61,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1199,1989,1347,7426,222,99,14,32,89,160,133,48
01003010703,Alabama,Baldwin County,0,13166,4878,0,3,0.02,0,0,0,0,0,0,2.1,102153,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,12603,95.73,808,6.14,3613,27.44,1201,9.12,11070,84.08,1056,8.02,191,1.45,2,0.01,43,0.33,242,1.84,328,2.49,42,0.87,186,3.81,10181,77.33,643,4.88,3018,22.93,884,6.71,8899,67.59,924,7.02,158,1.20,1,0.01,25,0.19,174,1.32,256,1.95,31,0.64,143,2.93,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1257,3729,1279,11582,1071,206,2,47,258,343,62,277
01003010704,Alabama,Baldwin County,1,5055,1967,0,0,0.00,0,0,0,0,0,0,13.4,80678,1,1,1,1,1,0,0,0,4850,5031,4850,1606,1651,1606,5031,99.53,1651,32.66,1166,23.07,658,13.03,4511,89.24,331,6.55,57,1.13,0,0.00,22,0.44,110,2.18,155,3.07,42,2.13,84,4.26,4850,95.95,1606,31.77,1126,22.28,630,12.46,4346,85.97,321,6.34,54,1.07,0,0.00,22,0.43,108,2.13,145,2.86,39,1.99,81,4.11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2045,1174,661,4531,331,58,0,22,113,155,36,80
01003010705,Alabama,Baldwin County,1,8331,3689,0,61,0.73,0,0,0,0,0,0,14.2,76343,1,1,1,1,1,0,0,0,3481,7146,3481,935,2111,935,7146,85.77,2111,25.33,1677,20.13,959,11.51,6003,72.06,786,9.43,118,1.42,8,0.09,47,0.57,184,2.21,246,2.95,91,2.48,98,2.66,3481,41.78,935,11.22,931,11.17,494,5.93,3006,36.08,329,3.94,35,0.42,2,0.03,22,0.26,88,1.05,108,1.29,43,1.17,43,1.16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2680,1886,1098,6867,1028,156,10,50,220,280,121,128
01003010800,Alabama,Baldwin County,1,6861,2770,0,192,2.80,0,0,0,0,0,0,8.3,92714,1,1,1,1,1,0,0,0,2488,5356,2488,807,1721,807,5356,78.07,1721,25.09,1200,17.49,982,14.32,3774,55.01,1466,21.36,42,0.61,3,0.04,13,0.18,59,0.86,85,1.24,95,3.41,92,3.33,2488,36.27,807,11.76,615,8.97,406,5.92,1636,23.84,808,11.77,17,0.25,1,0.01,3,0.05,24,0.35,45,0.66,30,1.08,42,1.53,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2258,1480,1316,5050,1639,65,3,16,88,109,118,112
01003010903,Alabama,Baldwin County,0,5173,1799,0,516,9.97,0,0,0,0,1,0,12.5,63116,0,0,0,0,0,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,4483,86.66,1369,26.47,954,18.44,457,8.83,3415,66.01,909,17.57,10,0.19,1,0.02,33,0.63,116,2.25,110,2.13,106,5.90,145,8.05,3941,76.19,1193,23.06,831,16.06,411,7.94,3080,59.54,728,14.08,10,0.19,1,0.02,28,0.54,95,1.83,80,1.55,94,5.22,126,7.03,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1406,1116,563,4000,950,16,2,37,168,159,132,171
01003010904,Alabama,Baldwin County,0,6831,2564,0,49,0.72,0,0,0,0,0,0,17.0,65515,0,0,0,0,0,0,0,0,396,396,NULL,141,141,NULL,6650,97.36,2031,29.73,1574,23.05,927,13.58,6192,90.64,133,1.95,22,0.33,4,0.06,99,1.44,201,2.94,186,2.72,33,1.27,242,9.43,6381,93.41,1967,28.79,1492,21.84,905,13.25,5956,87.19,102,1.49,21,0.31,4,0.06,98,1.43,200,2.93,177,2.59,33,1.27,232,9.07,396,5.79,141,2.06,73,1.07,74,1.08,375,5.49,2,0.03,2,0.02,0,0.00,3,0.05,14,0.20,7,0.11,0,0.00,16,0.61,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1843,1616,954,6361,141,23,4,100,202,187,30,224
