CensusTract,State,County,Urban,Pop2010,OHU2010,GroupQuartersFlag,NUMGQTRS,PCTGQTRS,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,HUNVFlag,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,LATractsVehicle_20,LAPOP1_10,LAPOP05_10,LAPOP1_20,LALOWI1_10,LALOWI05_10,LALOWI1_20,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lakidshalf,lakidshalfshare,laseniorshalf,laseniorshalfshare,lawhitehalf,lawhitehalfshare,lablackhalf,lablackhalfshare,laasianhalf,laasianhalfshare,lanhopihalf,lanhopihalfshare,laaianhalf,laaianhalfshare,laomultirhalf,laomultirhalfshare,lahisphalf,lahisphalfshare,lahunvhalf,lahunvhalfshare,lasnaphalf,lasnaphalfshare,lapop1,lapop1share,lalowi1,lalowi1share,lakids1,lakids1share,laseniors1,laseniors1share,lawhite1,lawhite1share,lablack1,lablack1share,laasian1,laasian1share,lanhopi1,lanhopi1share,laaian1,laaian1share,laomultir1,laomultir1share,lahisp1,lahisp1share,lahunv1,lahunv1share,lasnap1,lasnap1share,lapop10,lapop10share,lalowi10,lalowi10share,lakids10,lakids10share,laseniors10,laseniors10share,lawhite10,lawhite10share,lablack10,lablack10share,laasian10,laasian10share,lanhopi10,lanhopi10share,laaian10,laaian10share,laomultir10,laomultir10share,lahisp10,lahisp10share,lahunv10,lahunv10share,lasnap10,lasnap10share,lapop20,lapop20share,lalowi20,lalowi20share,lakids20,lakids20share,laseniors20,laseniors20share,lawhite20,lawhite20share,lablack20,lablack20share,laasian20,laasian20share,lanhopi20,lanhopi20share,laaian20,laaian20share,laomultir20,laomultir20share,lahisp20,lahisp20share,lahunv20,lahunv20share,lasnap20,lasnap20share,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP
12001000901,Florida,Alachua County,1,2877,476,1,2038,70.84,0,1,0,1,1,1,40.1,27813,0,1,0,1,0,0,0,1,NULL,2119,NULL,NULL,1637,NULL,2119,73.66,1637,56.92,138,4.80,1,0.04,1275,44.33,211,7.34,504,17.53,1,0.03,4,0.14,123,4.28,265,9.20,106,22.37,47,9.89,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,561,142,2,1808,320,569,1,6,173,370,95,42
12001000902,Florida,Alachua County,1,5926,36,1,5873,99.11,0,1,0,0,0,1,19.6,36429,0,1,0,1,0,0,0,0,NULL,5179,NULL,NULL,804,NULL,5179,87.40,804,13.57,24,0.40,0,0.00,3794,64.02,645,10.89,433,7.31,1,0.02,9,0.15,297,5.01,884,14.92,0,0.00,5,13.89,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,31,27,0,4267,794,499,3,9,354,1023,0,5
12001001000,Florida,Alachua County,1,6207,2758,0,152,2.45,0,1,0,1,1,1,45.7,88209,0,1,0,1,0,0,0,1,NULL,3162,NULL,NULL,1482,NULL,3162,50.95,1482,23.88,252,4.06,355,5.72,2930,47.20,63,1.02,70,1.13,0,0.00,3,0.05,95,1.53,261,4.20,112,4.07,86,3.10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2999,412,565,5622,149,189,2,13,232,644,243,150
12001001100,Florida,Alachua County,1,6438,2938,0,0,0.00,0,0,0,0,0,0,8.7,104345,0,1,0,1,0,0,0,0,294,3719,294,33,638,33,3719,57.77,638,9.90,649,10.08,713,11.07,3302,51.29,173,2.69,134,2.09,3,0.04,8,0.13,98,1.53,230,3.57,60,2.03,100,3.40,294,4.57,33,0.52,52,0.81,43,0.66,257,4.00,19,0.30,3,0.04,0,0.00,1,0.02,14,0.21,35,0.55,0,0.00,8,0.28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1430,1029,1468,5650,352,232,5,14,185,383,143,185
12001001201,Florida,Alachua County,1,2906,1233,0,0,0.00,0,0,0,0,0,0,6.8,84318,0,1,0,1,0,0,0,0,227,2216,227,46,446,46,2216,76.24,446,15.33,446,15.36,289,9.93,1683,57.92,258,8.89,173,5.95,0,0.00,9,0.31,92,3.18,196,6.75,51,4.11,53,4.28,227,7.80,46,1.57,40,1.36,27,0.93,170,5.86,28,0.98,19,0.64,0,0.00,1,0.02,9,0.30,19,0.65,5,0.40,5,0.41,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,688,590,409,2251,317,199,0,11,128,257,70,73
12001001202,Florida,Alachua County,1,6914,2983,0,9,0.13,0,0,0,0,0,0,8.5,78707,1,1,1,1,1,0,0,0,2537,6389,2537,639,1504,639,6389,92.41,1504,21.75,1325,19.16,600,8.67,4864,70.35,771,11.15,448,6.48,6,0.09,18,0.26,283,4.09,639,9.24,98,3.28,243,8.15,2537,36.70,639,9.24,538,7.78,229,3.32,2012,29.10,294,4.25,111,1.60,5,0.07,6,0.09,109,1.58,251,3.63,37,1.24,97,3.24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1838,1441,637,5211,884,457,8,19,335,708,136,285
12001001203,Florida,Alachua County,1,3657,1668,0,13,0.36,0,1,0,0,0,1,22.5,63682,0,1,0,1,0,0,0,0,NULL,2018,NULL,NULL,787,NULL,2018,55.18,787,21.52,393,10.76,151,4.12,1426,39.00,408,11.15,79,2.16,0,0.00,6,0.17,98,2.69,148,4.05,56,3.33,63,3.76,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1340,668,242,2595,699,160,0,11,192,280,90,116
12001001400,Florida,Alachua County,1,4585,942,0,2070,45.15,1,1,1,0,0,1,23.8,54554,1,1,1,1,1,0,0,0,4565,4585,4565,2457,2467,2457,4585,100.00,2467,53.80,655,14.29,284,6.19,1810,39.48,2621,57.16,13,0.28,2,0.04,10,0.22,129,2.81,194,4.23,70,7.44,150,15.92,4565,99.55,2457,53.58,654,14.27,284,6.18,1803,39.32,2608,56.88,13,0.28,2,0.04,10,0.22,129,2.81,193,4.21,70,7.43,150,15.90,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1721,655,284,1810,2621,13,2,10,129,194,70,152
12001001514,Florida,Alachua County,1,1281,714,0,0,0.00,0,0,0,0,0,1,46.1,53182,0,0,0,0,0,0,0,0,NULL,112,NULL,NULL,74,NULL,112,8.74,74,5.80,10,0.75,1,0.06,54,4.22,18,1.40,28,2.17,0,0.00,0,0.00,12,0.94,16,1.26,6,0.83,2,0.23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1016,59,12,804,127,263,1,1,85,196,68,22
12001001515,Florida,Alachua County,1,6343,2843,0,0,0.00,0,1,0,1,1,1,52.7,37950,0,1,0,1,0,0,0,1,82,3816,82,63,2803,63,3816,60.16,2803,44.20,274,4.32,23,0.36,2240,35.31,890,14.03,413,6.51,1,0.02,10,0.15,262,4.13,562,8.86,239,8.41,191,6.72,82,1.28,63,1.00,8,0.12,1,0.02,45,0.71,22,0.34,11,0.17,0,0.00,0,0.00,4,0.06,9,0.14,5,0.18,4,0.15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3942,398,71,3773,1305,832,1,20,412,959,355,261
12001001516,Florida,Alachua County,1,2149,1129,0,0,0.00,1,1,1,1,1,1,54.4,35625,1,1,1,1,1,0,0,1,512,2149,512,381,1428,381,2149,100.00,1428,66.43,141,6.56,17,0.79,1415,65.84,349,16.24,217,10.10,0,0.00,9,0.42,159,7.40,282,13.12,104,9.22,78,6.93,512,23.84,381,17.72,21,0.99,8,0.37,328,15.25,71,3.32,73,3.40,0,0.00,4,0.21,36,1.66,67,3.13,25,2.22,15,1.36,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1449,141,17,1415,349,217,0,9,159,282,94,69
12001001517,Florida,Alachua County,1,4734,2205,0,158,3.34,0,1,0,0,0,1,45.8,38750,0,1,0,1,0,0,0,0,NULL,3022,NULL,NULL,2103,NULL,3022,63.84,2103,44.41,176,3.73,70,1.48,1835,38.76,641,13.53,339,7.17,4,0.08,2,0.04,201,4.25,479,10.12,90,4.09,59,2.69,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3323,328,161,2787,1085,546,5,5,306,663,157,83
12001001519,Florida,Alachua County,1,2559,905,0,0,0.00,0,0,0,0,0,1,65.4,33750,0,0,0,0,0,0,0,0,NULL,119,NULL,NULL,95,NULL,119,4.67,95,3.72,6,0.22,0,0.02,73,2.85,25,0.97,13,0.52,0,0.00,0,0.01,8,0.31,21,0.81,10,1.16,3,0.30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2295,90,5,1365,421,604,1,9,159,361,202,53
12001001520,Florida,Alachua County,1,2482,1054,0,113,4.55,0,1,0,0,0,1,67.0,18393,0,1,0,1,0,0,0,0,0,2315,0,0,1945,0,2315,93.29,1945,78.37,184,7.41,106,4.26,1430,57.63,552,22.24,168,6.76,4,0.16,4,0.18,157,6.32,382,15.39,73,6.88,74,6.98,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1829,212,113,1526,589,187,4,5,171,403,71,72
